Sl,Class,Recipe Name,Preparation Time ,Cooking Time,Serving,Ingredients,Instructions
15,Brinjal,Brijnal Sambar,10 Mins,15 Mins,4 - 5 People,"2 Brinjals, 1 cup of grated coconut, 1 tsp urad dal, 1/2 tsp corriander seeds, 10 fenugreek seeds, 1/4 tsp cummins, 1/4 tsp turmeric powder, asafoetida, 5 dry chilli, tamarind juice, jaggery, salt to taste.","Put water, salt, jaggery and tamarind juice in a pot and when it boils, add cut eggplant(brinjal) slices and cook. In a pan add dry chillies, fenugreek seeds, urad dal, coriander seeds, cumin, curry leaves, put some coconut oil and heat it. When urad dal turns red, add asafoetida, turmeric powder, grated coconut. Once its cooled grind it well and add it to the cooked brinjal pieces and bring it to a boil. At the end season it with mustered seeds. Garnish it with corriander leaves."
16,Brinjal,Brinjal Majjige Huli,10 Mins,18 Mins,4 - 5 People,"2 brinjals, 2 green chillies, 2 cups of grated coconut, salt, 1 glass of sour buttermilk, 10ml tamarind juice, mustered seeds and oil for seasoning.","In a pot, add water, salt, some tamarind, when it boils, add chopped green chillies, brinjal and let it cook. After its cooked add buttermilk. In a mixer jar, add grated coconut, grind it into fine paste, boil a little. After a boil season it with mustard, dry chilli."
17,Brinjal,Brinjal Palya,8 Mins,15 Mins,4 - 5 People,"2 brinjals, Salt, 25grms Jaggery, 1/4tsp Turmeric powder, 1/2tsp Chili powder, 10ml tamarind juice, 1/2 cup grated coconut, 1tsp urad dal, 1tsp mustard seeds and 5 curry leaves.","Cut the brinjal into small pieces, and add the brinjal pieces to the pan, add salt, jaggery, turmeric powder, chili powder, tamarind juice and add some water and let it cook. After it is cooked, add the grated coconut and season it with mustered seeds and urad dal and curry leaves."
18,Brinjal,Brinjal Bath (Vangi Bath),10 Mins,25 Mins,4 - 5 People,"4 long brinjals, 4 spoons of wangibhat powder, 2 onions, Salt, A little tamarind juice, 1 bowl of cooked white rice.","Heat coconut oil, channadal, urad dal, mustard, curry leaves in a pan, then add onions, sliced eggplant(brinjal), add a little water. After half of the time, add wangibath powder, cook well, and finally add the cooked rice and mix."
19,Capsicum,Capsicum Chutney,10 Mins,14 Mins,4 - 5 People,"2 capsicums, 2 onions, 2 green chillies, 1tsp of channa dal, 1tsp urad dal, 5ml oil, 1/2 bowl grated coconut, 1/4tsp mustered seeds, 5 curry leaves.","In a pan add oil, chopped onions, add channa dal, urad dal, capsicum, green chillies, onion and fry well, then add grated coconut at the end. After it cools,  put it in a mixer and grind it finely and season it with mustered seeds and curry leaves."
20,Capsicum,Capsicum Majjige Huli,10 Mins,20 Mins,4 - 5 People,"2 capsicums, 4 raw tomatoes, 2 Green Chillies, 2 cups of grated coconut, salt, one glass of sour buttermilk, 1/4tsp mustered seeds, 2 dry chillies.","In a pot add water, salt to taste and the sliced capsicum and tomatoes and cook it. Add the buttermilk to the pot and keep the flame low. In a mixer jar add grated coconut and water and grind it finely. Later add the grinded paste to the pot and bring it to a boil. Finally seasoning it with mustered seeds and dry chillies."
21,Capsicum,Capsicum Sasive,8 Mins,10 Mins,4 - 5 People,"1 capsicum, 1 green chilli, 1 cup of grated coconut, 1tsp mustard seeds, 2 dry chilli, 5 curry leaves, 1cup curd, salt to taste.","Cut the capsicum into small pieces and in pan add the capsicum and salte to taste and water to cook. After its cooked and cooled properly, in a mixer jar add grated coconut, green chilli, mustered seeds and water and grind it finely. Add the grinded paste to the pan and add curd to it. Finally tamper it with mustered seeds and dry chilli."
22,Carrot,Carrot Kosambri,9 Mins,10 Mins,4 - 5 People,"4 carrots, 1/2 cup of moong dal, 2 tomatoes, 1 green chilli, 1 onion, 2 spoons grated coconut, salt, coriander leaves, 1 small cuccumber.","Soak the moong dal fro half an hour earlier. Grate the cuccumber, carrot, green chillies, onion, tomato. Chop the corriander leaves finely. Add all the greated and chopped veggies to the soaked moong dal, also add grated coconut, salt to taste and mix well. Season it with urad dal, mustered seeds and curry leaves."
23,Carrot,Carrot Halwa,10 Mins,15 Mins,4 - 5 People,"Carrot 1/2 kg, sugar 400 grms, milk 2 glasses, ghee 200 grms, cardamom powder 5 grms.","Peel and grate the carrot and put it in a pan, add milk and cook it well. Then add sugar, add ghee little by little and keep stirring. When it looses out of the pan. Add cardamom powder (dry grapes, cashews can also be added) and add remaining ghee and stir."
24,Cucumber,Cucumber Kadubu,4 Hours,1 Hour,4 - 5 People,"2 large cucumbers, 2 cups of white rice, salt, 10 ?banana leaves.","Soak the rice for 4 hours first, peel the cucumber and chop it into small pieces. Add salt to the rice and grind it to a fine paste. Add the chopped cucumber to this mixture. Pour handful of mixture in the banana leaf and fold it and cook it in steam for 1 hour."
25,Cucumber,Cucumber Pulp Rasam,5 Mins,10 Mins,4 - 5 People,"1 cucumber pulp, 1 green chilli, salt, 1/4 cup of buttermilk, a small piece of jaggery.","Put the cucumber in a mixer with seeds, grind it and filter it, add salt, jaggery, green chilli and boil it well. At the end add buttermilk. Season it with mustard seeds and curry leaves."
26,Cucumber,Cucumber Huli Menasu,10 Mins,15 Mins,4 - 5 People,"1-Cucumber, 1 cup grated coconut, 4 dry chillies, little tamarind, salt, 50grms jaggery, 1/2tsp turmeric powder, garlic, mustard, curry leaves.","Cut cucumber into big slices, add salt, jaggery, water and cook well. Add coconut, dry pepper, turmeric powder, tamarind and grind it finely. Add water to cook the cucumber. Finally season it with garlic, mustard and curry powder."
27,Ginger,Ginger Tambuli,2 Mins,10 Mins,4 - 5 People,"1/2 inch of ginger, 1 cup of grated coconut, salt, 1 cup of sour buttermilk, mustard, curry leaves, dry chilies.","Add grated coconut, ginger, salt, water and grind it finely and put it in a vessel and then add buttermilk to it. Season it with mustered seeds, dry chililes and curry leaves."
28,Ginger,Ginger Gojju,5 Mins,10 Mins,4 - 5 People,"1 cup of ginger sliced small, 1 cup of tamarind juice, 50grms of jaggery, salt, asafoetida, 1tsp chili powder, 1/4tsp turmeric powder, 1tsp urad dal, 5 curry leaves, 1/4tsp mustered seeds.","Put oil in a pan and heat it, add chopped ginger, tamarind juice, jaggery, salt, turmeric powder, chilli powder and boil it until its in gravy structure. "
29,Ginger,Ginger Chatni,3 Mins,10 Mins,4 - 5 People,"A cup of grated coconut, an inch of ginger, a little tamarind juice, salt, 2-3 green chillies (dry chillies can also be added), mustard, curry leaves for seasoning.","Add grated coconut, ginger, salt, tamarind, pepper and grind it with some water. And season it with mustard, curry leaves."
30,Garlic ,Garlic Chatni,5 Mins,8 Mins,4 - 5 People,"8-10 cloves of garlic, 2 green chillies, salt, 2 tsp of channa, tamarind, curry leaves, 1 cup of coconut, half an inch of ginger, mustard, curry leaves for digestion.","Put all the above mentioned ingredients in a mixer, add water and grind, finally season it with mustered seeds and curry leaves."
31,Garlic ,Garlic Gojju,5 Mins,10 Mins,4 - 5 People,"A fistful of peeled garlic, tamarind juice the size of a lemon, salt, jaggery, turmeric powder, chilli powder, rasam powder, urad dal, mustered seeds, 1/4tsp urad dal, 1/4tsp mustard, asafoetida, 5 curry leaves, oil.","Chop the garlic into small pieces. In a pan add oil and add chopped garlic, salt to taste, tamarind juice, turmeric powder and chilli powder and water for consistancy. After a boil, season it with mustered seeds, asafoetida, and curry leaves."
